min_support,frequent_itemsets,rules_generated,avg_lift,max_lift
0.005,2856,4718,16.687,119.51
0.01,830,566,11.707,60.98
0.02,205,42,7.34,16.371
0.03,77,6,9.139,12.242
0.05,17,0,0.0,0.0
